term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"prices","price","11","1000","0.011","0.25917526561693804","-0.26660949025595715"
"positive","posit","11","1000","0.011","-0.4868009388689606","-0.3053532951171977"
"portfolio","portfolio","11","1000","0.011","-0.14846612897535455","-0.4035312624438628"
"paper","paper","11","1000","0.011","-0.017169153634169217","0.015227310688061395"
"original","origin","11","1000","0.011","-0.37350401238222364","-0.040971702984508356"
"media","media","11","1000","0.011","-0.41595576065631806","0.005569479970020274"
"massive","massiv","11","1000","0.011","-0.35577843506382084","0.058699976089656505"
"issues","issu","11","1000","0.011","-0.4021408183697852","-0.23759713944494523"
"funding","fund","11","1000","0.011","0.004491156437953263","-0.42766896911299346"
"farmers","farmer","11","1000","0.011","0.8689077367920957","-0.04954066476049087"
"far","far","11","1000","0.011","-0.4262084827081879","-0.03802851107127088"
"faced","face","11","1000","0.011","-0.5278256122575087","-0.5007875841954227"
"europe","europ","11","1000","0.011","-0.37083529311968894","2.475104241146087"
"epa","epa","11","1000","0.011","0.04020976794287908","1.296445598134663"
"engineering","engin","11","1000","0.011","0.15277210141266326","-0.2097340142028048"
"down","down","11","1000","0.011","-0.4029893565744037","-0.042544316791723186"
"data","data","11","1000","0.011","-0.11413521205275162","-0.09296811381121108"
"control","control","11","1000","0.011","-0.4165197634718245","-0.18408697139296967"
"community","communiti","11","1000","0.011","-0.2962796109109628","-0.20852183454917"
"commercial","commerci","11","1000","0.011","-0.04778203870670811","-0.19504483423591504"
"built","built","11","1000","0.011","-0.31254649999892076","-0.3071013984852667"
"back","back","11","1000","0.011","-0.5001968499923538","-0.01928434112167422"
"approach","approach","11","1000","0.011","-0.50011025710092","-0.463360231549466"
"allow","allow","11","1000","0.011","-0.5938814309652004","-0.2753748463366476"
"advanced","advanc","11","1000","0.011","-0.3116529925148683","-0.35355986539195183"
"union","union","10","1000","0.01","-0.2575897868541752","0.005174031355289185"
"underground","underground","10","1000","0.01","0.24343796096928827","-0.01737171805380743"
"trends","trend","10","1000","0.01","-0.31233464290687213","-0.0994152225981481"
"timber","timber","10","1000","0.01","1.0601084772395162","0.09697463815406614"
"state's","state","10","1000","0.01","-0.11446220888046056","0.13451887214278907"
"small","small","10","1000","0.01","-0.19943842366602263","-0.07904274660368679"
"set","set","10","1000","0.01","-0.47783722803760975","-0.1831884618434791"
"residues","residu","10","1000","0.01","1.2893139556791045","0.1575028679666597"
"remain","remain","10","1000","0.01","-0.4991886159549399","-0.4001153067096742"
"planet","planet","10","1000","0.01","0.3508639051188251","0.45712474654876345"
"panels","panel","10","1000","0.01","-0.054640493098496515","0.022001885756723186"
"options","option","10","1000","0.01","-0.38823731849690596","-0.2844706944101015"
"matter","matter","10","1000","0.01","-0.4067471529378429","-0.02886172555378803"
"marine","marin","10","1000","0.01","0.797693873792104","0.09371039739719454"
"leading","lead","10","1000","0.01","-0.6380601225748866","-0.24388975238313063"
"landfills","landfil","10","1000","0.01","1.671754400545577","-0.33471999828648363"
"installed","instal","10","1000","0.01","-0.24468440748991024","-0.25845470501733936"
"hour","hour","10","1000","0.01","-0.3124362201033722","0.05927814197414368"
"expand","expand","10","1000","0.01","-0.41112586754545893","-0.633917660614033"
"existing","exist","10","1000","0.01","-0.17299986938536607","-0.3286801148534658"
"economic","econom","10","1000","0.01","0.15400590997944955","-0.17763224652977302"
"depends","depend","10","1000","0.01","-0.4503972022517123","-0.10010761962359373"
"corporation","corpor","10","1000","0.01","0.015318305164446119","-0.15082728699869238"
"consumers","consum","10","1000","0.01","0.06882522321338759","-0.32491253759486693"
"considered","consid","10","1000","0.01","-0.4699057429076973","-0.30169252586110384"
"combustion","combust","10","1000","0.01","1.6687334187405243","-0.09199015574432268"
"chips","chip","10","1000","0.01","0.14752412822896752","0.03741631694428781"
"chemical","chemic","10","1000","0.01","0.9102903407548184","-0.07809918536501817"
"center","center","10","1000","0.01","-0.4234542026834434","-0.20982909656559334"
"carbon-neutral","carbon-neutr","10","1000","0.01","",""
"authors","author","10","1000","0.01","0.006390505569768069","0.007051620866755263"
"amounts","amount","10","1000","0.01","0.007499879026368515","-0.1605020812856365"
"write","write","9","1000","0.009","-0.558595091273635","0.11353924583170097"
"transportation","transport","9","1000","0.009","0.36603024022918995","-0.20423641078892155"
"traditional","tradit","9","1000","0.009","-0.3216511488691322","-0.041872803257798755"
"suggests","suggest","9","1000","0.009","-0.4251039389645731","-0.17535058816743232"
"sugar","sugar","9","1000","0.009","0.8357660473185237","0.17141469774033857"
"stoves","stove","9","1000","0.009","1.0009858536154583","-0.1617628160765505"
"solid","solid","9","1000","0.009","-0.3860678369468547","-0.2181490338771708"
"regan","regan","9","1000","0.009","-0.31997626505643445","0.6961946853119463"
"rapidly","rapid","9","1000","0.009","-0.12097840184821106","-0.21961652151575134"
"problem","problem","9","1000","0.009","-0.38718163466119737","-0.15909550530789027"
"officials","offici","9","1000","0.009","-0.25769201355706917","-0.5307906349694562"
"ocean","ocean","9","1000","0.009","0.6639167134034147","0.24493515390733464"
"mw","mw","9","1000","0.009","1.3829565379426798","0.3219391277850208"
"measure","measur","9","1000","0.009","-0.30012484547615514","-0.39552363288775805"
"mass","mass","9","1000","0.009","-0.19263119263604342","0.05951953860434957"
"low","low","9","1000","0.009","-0.3089646305548892","-0.1816148099604118"
"lot","lot","9","1000","0.009","-0.45300721163617585","-0.12701109277452322"
"letter","letter","9","1000","0.009","-0.41890085257772597","-0.302297046730141"
"jobs","job","9","1000","0.009","0.179991566971806","-0.19016434851666697"
"holding","hold","9","1000","0.009","-0.46970397879572684","-0.11576419926770357"
"forestry","forestri","9","1000","0.009","1.0591539647895718","0.04124732202826466"
"forecast","forecast","9","1000","0.009","-0.07198014300193983","-0.2494352096205581"
"few","few","9","1000","0.009","-0.45717055139943547","-0.04018468659162162"
"feedstock","feedstock","9","1000","0.009","1.9978030929730846","-0.31287475563516204"
"fact","fact","9","1000","0.009","-0.4665279504832628","-0.02887221828601927"
"executive","execut","9","1000","0.009","-0.3874762522304382","-0.4460093724472155"
"environmentalists","environmentalist","9","1000","0.009","0.9722439205222729","-0.14895981553612045"
"ecosystem","ecosystem","9","1000","0.009","0.7124924132248884","-0.09127034806430714"
"deforestation","deforest","9","1000","0.009","1.5018318112940838","0.09548435635484956"
"conversion","convers","9","1000","0.009","-0.007798415345094363","-0.2042599000675715"
